Message,Actual,Predicted
"funny fact nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife natural disasters just happens",ham,ham
"i sent my scores to sophas and i had to do secondary application for a few schools. i think if you are thinking of applying, do a research on cost also. contact joke ogunrinde, her school is one me the less expensive ones",ham,ham
"we know someone who you know that fancies you. call 09058097218 to find out who. pobox 6, ls15hb 150p",spam,ham
only if you promise your getting out as soon as you can. and you'll text me in the morning to let me know you made it in ok.,ham,ham
congratulations ur awarded either å£500 of cd gift vouchers & free entry 2 our å£100 weekly draw txt music to 87066 tncs www.ldew.com1win150ppmx3age16,spam,spam
"i'll text carlos and let you know, hang on",ham,ham
k.i did't see you.:)k:)where are you now?,ham,ham
no message..no responce..what happend?,ham,ham
get down in gandhipuram and walk to cross cut road. right side &lt;#&gt; street road and turn at first right.,ham,ham
you flippin your shit yet?,ham,ham
for real tho this sucks. i can't even cook my whole electricity is out. and i'm hungry.,ham,ham
free tones hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p provided by tones2you.co.uk,spam,spam
i'm wif him now buying tix lar...,ham,ham
call me when u finish then i come n pick u.,ham,ham
dear how is chechi. did you talk to her,ham,ham
what's up. do you want me to come online?,ham,ham
were somewhere on fredericksburg,ham,ham
"urgent! your mobile was awarded a å£1,500 bonus caller prize on 27/6/03. our final attempt 2 contact u! call 08714714011",spam,spam
when can ì_ come out?,ham,ham
"k, if u bored up just come to my home..",ham,ham
